State,n,m,k,L,U,Contiguity?,Feasible?
WA,39,91,10,669092,675816,FALSE,FALSE
WA,39,91,10,669092,675816,TRUE,FALSE
DE,3,2,1,893445,902423,FALSE,TRUE
DE,3,2,1,893445,902423,TRUE,TRUE
WI,72,176,8,707319,714427,FALSE,FALSE
WI,72,176,8,707319,714427,TRUE,FALSE
WV,55,125,3,614577,620752,FALSE,TRUE
WV,55,125,3,614577,620752,TRUE,TRUE
HI,5,1,2,676750,683551,FALSE,FALSE
HI,5,1,2,676750,683551,TRUE,FALSE
FL,67,142,27,692864,699826,FALSE,FALSE
FL,67,142,27,692864,699826,TRUE,FALSE
WY,23,51,1,560808,566444,FALSE,TRUE
WY,23,51,1,560808,566444,TRUE,TRUE
NJ,21,42,12,728995,736321,FALSE,FALSE
NJ,21,42,12,728995,736321,TRUE,FALSE
NM,33,78,3,682962,689824,FALSE,TRUE
NM,33,78,3,682962,689824,TRUE,TRUE
TX,254,661,36,694996,701980,FALSE,FALSE
TX,254,661,36,694996,701980,TRUE,FALSE
LA,64,160,6,751785,759339,FALSE,TRUE
LA,64,160,6,751785,759339,TRUE,TRUE
NC,100,244,13,729832,737166,FALSE,FALSE
NC,100,244,13,729832,737166,TRUE,FALSE
ND,53,132,1,669229,675953,FALSE,TRUE
ND,53,132,1,669229,675953,TRUE,TRUE
NE,93,231,3,605737,611824,FALSE,TRUE
NE,93,231,3,605737,611824,TRUE,TRUE
TN,95,240,9,701598,708648,FALSE,FALSE
TN,95,240,9,701598,708648,TRUE,FALSE
NY,62,145,27,714119,721296,FALSE,FALSE
NY,62,145,27,714119,721296,TRUE,FALSE
PA,67,168,18,702160,709216,FALSE,FALSE
PA,67,168,18,702160,709216,TRUE,FALSE
AK,29,51,1,706680,713782,FALSE,TRUE
AK,29,51,1,706680,713782,TRUE,TRUE
NV,17,35,4,671763,678513,FALSE,FALSE
NV,17,35,4,671763,678513,TRUE,FALSE
NH,10,19,2,654944,661526,FALSE,TRUE
NH,10,19,2,654944,661526,TRUE,FALSE
VA,134,306,11,723729,731002,FALSE,FALSE
VA,134,306,11,723729,731002,TRUE,FALSE
CO,64,161,7,714865,722048,FALSE,TRUE
CO,64,161,7,714865,722048,TRUE,FALSE
CA,58,142,53,699391,706419,FALSE,FALSE
CA,58,142,53,699391,706419,TRUE,FALSE
AL,67,171,7,679406,686233,FALSE,TRUE
AL,67,171,7,679406,686233,TRUE,TRUE
AR,75,192,4,725335,732624,FALSE,TRUE
AR,75,192,4,725335,732624,TRUE,TRUE
VT,14,27,1,622613,628869,FALSE,TRUE
VT,14,27,1,622613,628869,TRUE,TRUE
IL,102,261,18,709249,716376,FALSE,FALSE
IL,102,261,18,709249,716376,TRUE,FALSE
GA,159,418,14,688516,695435,FALSE,FALSE
GA,159,418,14,688516,695435,TRUE,FALSE
IN,92,234,9,716821,724024,FALSE,FALSE
IN,92,234,9,716821,724024,TRUE,FALSE
IA,99,222,4,757781,765396,FALSE,TRUE
IA,99,222,4,757781,765396,TRUE,TRUE
MA,14,24,9,723877,731151,FALSE,FALSE
MA,14,24,9,723877,731151,TRUE,FALSE
AZ,15,32,9,706673,713775,FALSE,FALSE
AZ,15,32,9,706673,713775,TRUE,FALSE
ID,44,102,2,779873,787709,FALSE,TRUE
ID,44,102,2,779873,787709,TRUE,TRUE
CT,8,13,5,711246,718393,FALSE,FALSE
CT,8,13,5,711246,718393,TRUE,FALSE
ME,16,34,2,660860,667501,FALSE,TRUE
ME,16,34,2,660860,667501,TRUE,TRUE
MD,24,46,8,718086,725302,FALSE,FALSE
MD,24,46,8,718086,725302,TRUE,FALSE
OK,77,195,5,746519,754021,FALSE,TRUE
OK,77,195,5,746519,754021,TRUE,TRUE
OH,88,227,16,717427,724636,FALSE,FALSE
OH,88,227,16,717427,724636,TRUE,FALSE
UT,29,67,4,687517,694426,FALSE,FALSE
UT,29,67,4,687517,694426,TRUE,FALSE
MO,115,294,8,744873,752358,FALSE,FALSE
MO,115,294,8,744873,752358,TRUE,FALSE
MN,87,218,8,659676,666305,FALSE,FALSE
MN,87,218,8,659676,666305,TRUE,FALSE
MI,83,196,14,702445,709504,FALSE,FALSE
MI,83,196,14,702445,709504,TRUE,FALSE
RI,5,7,2,523653,528914,FALSE,FALSE
RI,5,7,2,523653,528914,TRUE,FALSE
KS,105,263,4,709714,716845,FALSE,TRUE
KS,105,263,4,709714,716845,TRUE,TRUE
MT,56,138,1,984468,994362,FALSE,TRUE
MT,56,138,1,984468,994362,TRUE,TRUE
MS,82,202,4,738116,745533,FALSE,TRUE
MS,82,202,4,738116,745533,TRUE,TRUE
SC,46,109,7,657463,664070,FALSE,TRUE
SC,46,109,7,657463,664070,TRUE,FALSE
KY,120,307,6,719612,726843,FALSE,FALSE
KY,120,307,6,719612,726843,TRUE,FALSE
OR,36,81,5,762384,770045,FALSE,TRUE
OR,36,81,5,762384,770045,TRUE,FALSE
SD,66,164,1,810110,818250,FALSE,TRUE
SD,66,164,1,810110,818250,TRUE,TRUE
